id,question,answer,text,processed_text,sub_topic
1,Write sql query to get the second highest salary among all employees?,"Given Employee Table with two columns
ID, Salary 10, 2000
11, 5000
12, 3000","Write sql query to get the second highest salary among all employees?Given Employee Table with two columns
ID, Salary 10, 2000
11, 5000
12, 3000","write sql query get second highest salary among employee ? given employee table two column id , salary , ,",Joins & Views
2,There are multiple ways to get the second highest salary among all employees.,"Option 1: Use Subquery
SELECT MAX(Salary) FROM Employee WHERE Salary NOT IN (SELECT MAX(Salary) FROM Employee );
In this approach, we are getting the maximum salary in a subquery and then excluding this from the rest of the resultset.
Option 2: Use Not equals
select MAX(Salary) from Employee WHERE Salary <> (select MAX(Salary) from Employee )
This is same as option 1 but we are using <> instead of NOT IN.","There are multiple ways to get the second highest salary among all employees.Option 1: Use Subquery
SELECT MAX(Salary) FROM Employee WHERE Salary NOT IN (SELECT MAX(Salary) FROM Employee );
In this approach, we are getting the maximum salary in a subquery and then excluding this from the rest of the resultset.
Option 2: Use Not equals
select MAX(Salary) from Employee WHERE Salary <> (select MAX(Salary) from Employee )
This is same as option 1 but we are using <> instead of NOT IN.","multiple way get second highest salary among employees.option use subquery select max ( salary ) employee salary inselect max ( salary ) employee ; approach , getting maximum salary subquery excluding rest resultset . option use equal select max ( salary ) employee salary > select max ( salary ) employee option using > instead .",Keys & Constraints
3,How can we retrieve alternate records from a table in oracle?,"We can use rownum and MOD function to retrieve the alternate records from a table.
To get Even number records:
SELECT * FROM (SELECT rownum, ID, Name FROM Employee) WHERE MOD(rownum,2)=0
To get Odd number records: SELECT * FROM (SELECT rownum, ID, Name FROM Employee)
WHERE MOD(rownum,2)=1","How can we retrieve alternate records from a table in oracle?We can use rownum and MOD function to retrieve the alternate records from a table.
To get Even number records:
SELECT * FROM (SELECT rownum, ID, Name FROM Employee) WHERE MOD(rownum,2)=0
To get Odd number records: SELECT * FROM (SELECT rownum, ID, Name FROM Employee)
WHERE MOD(rownum,2)=1","retrieve alternate record table oracle ? use rownum mod function retrieve alternate record table . get even number record : select fromselect rownum , id , name employee ) mod ( rownum , ) = get odd number record : select fromselect rownum , id , name employee ) mod ( rownum , ) =",Indexes & Transactions
4,Write sql query to find max salary and department name from each department.,"Given Employee table with three columns
ID, Salary, DeptID
10, 1000, 2
20, 5000, 3
30, 3000, 2

Department table with two columns: ID, DeptName
1, Marketing
2, IT
3, Finance

This is a trick question. There can be some department without any employee. So we have to ask interviewer if they expect the name of such Department also in result.
If yes then we have to join Department table with Employee table by using foreign key DeptID. We have to use LEFT OUTER JOIN to print all the departments.
Query would be like as follows:
SELECT d.DeptName, MAX(e.Salary) FROM Department d LEFT OUTER JOIN Employee e ON e.DeptId = d.ID GROUP BY DeptName","Write sql query to find max salary and department name from each department.Given Employee table with three columns
ID, Salary, DeptID
10, 1000, 2
20, 5000, 3
30, 3000, 2

Department table with two columns: ID, DeptName
1, Marketing
2, IT
3, Finance

This is a trick question. There can be some department without any employee. So we have to ask interviewer if they expect the name of such Department also in result.
If yes then we have to join Department table with Employee table by using foreign key DeptID. We have to use LEFT OUTER JOIN to print all the departments.
Query would be like as follows:
SELECT d.DeptName, MAX(e.Salary) FROM Department d LEFT OUTER JOIN Employee e ON e.DeptId = d.ID GROUP BY DeptName","write sql query find max salary department name department.given employee table three column id , salary , deptid , , , department table two column : id , deptname , marketing , , finance trick question . department without employee . ask interviewer expect name department also result . yes join department table employee table using foreign key deptid . use left outer join print department . query would like follows : select d.deptname , max ( e.salary ) department left outer join employee e e.deptid d.id group deptname",Basic SQL Operations
5,Write sql query to find records in table a that are not in table b without using not in operator.,"Consider two tables
Table_A

10
20
30

Table_B
15
30
45
We can use MINUS operator in this case for Oracle and EXCEPT for SQL Server.
Query will be as follows:
SELECT * FROM Table_A MINUS SELECT * FROM Table_B","Write sql query to find records in table a that are not in table b without using not in operator.Consider two tables
Table_A

10
20
30

Table_B
15
30
45
We can use MINUS operator in this case for Oracle and EXCEPT for SQL Server.
Query will be as follows:
SELECT * FROM Table_A MINUS SELECT * FROM Table_B",write sql query find record table table b without using operator.consider two table table_a table_b use minus operator case oracle except sql server . query follows : select table_a minus select table_b,Views & Derived Tables
6,What is the result of following query?,"SELECT CASE WHEN null = null THEN ""True"" ELSE ""False"" END AS Result;
Answer: In SQL null can not be compared with itself. There fore null = null is not true. We can compare null with a non-null value to check whether a value is not null.
Therefore the result of above query is False.
The correct way to check for null is to use IS NULL clause.
Following query will give result True. SELECT CASE WHEN null IS NULL THEN ""True"" ELSE ""False"" END AS Result;","What is the result of following query?SELECT CASE WHEN null = null THEN ""True"" ELSE ""False"" END AS Result;
Answer: In SQL null can not be compared with itself. There fore null = null is not true. We can compare null with a non-null value to check whether a value is not null.
Therefore the result of above query is False.
The correct way to check for null is to use IS NULL clause.
Following query will give result True. SELECT CASE WHEN null IS NULL THEN ""True"" ELSE ""False"" END AS Result;",result following query ? select case null null thentrue '' elsefalse '' end result ; answer : sql null compared . fore null null true . compare null non-null value check whether value null . therefore result query false . correct way check null use null clause . following query give result true . select case null null thentrue '' elsefalse '' end result ;,Users & Security
7,Write sql query to find employees that have same name and email.,"Employee table:
ID	NAME	EMAIL
10	John	jbaldwin
20	George	gadams
30	John	jsmith

This is a simple question with one trick. The trick here is to use Group by on two columns Name and Email.
Query would be as follows: SELECT name, email, COUNT(*) FROM Employee GROUP BY name, email HAVING COUNT(*) > 1","Write sql query to find employees that have same name and email.Employee table:
ID	NAME	EMAIL
10	John	jbaldwin
20	George	gadams
30	John	jsmith

This is a simple question with one trick. The trick here is to use Group by on two columns Name and Email.
Query would be as follows: SELECT name, email, COUNT(*) FROM Employee GROUP BY name, email HAVING COUNT(*) > 1","write sql query find employee name email.employee table : id name email john jbaldwin george gadams john jsmith simple question one trick . trick use group two column name email . query would follows : select name , email , count ( * ) employee group name , email count ( * )",Databases & Storage
8,Write sql query to find max salary from each department.,"Given Employee table with three columns
ID, Salary, DeptID 10, 1000, 2
20, 5000, 3
30, 3000, 2

We can first use group by DeptID on Employee table and then get the Max salary from each Dept group.
SELECT	DeptID, MAX(salary) FROM Employee GROUP BY DeptID","Write sql query to find max salary from each department.Given Employee table with three columns
ID, Salary, DeptID 10, 1000, 2
20, 5000, 3
30, 3000, 2

We can first use group by DeptID on Employee table and then get the Max salary from each Dept group.
SELECT	DeptID, MAX(salary) FROM Employee GROUP BY DeptID","write sql query find max salary department.given employee table three column id , salary , deptid , , first use group deptid employee table get max salary dept group . select deptid , max ( salary ) employee group deptid",Data Types & Tablespaces
9,Write sql query to get the nth highest salary among all employees.,"Given Employee Table with two columns
ID, Salary 10, 2000
11, 5000
12, 3000

Option 1: Use Subquery We can use following sub query approach for this:
SELECT * FROM Employee emp1 WHERE (N-1) = ( SELECT COUNT(DISTINCT(emp2.salary)) FROM Employee emp2 WHERE emp2.salary > emp1.salary)
Option 2: Using Rownum in Oracle
SELECT * FROM (SELECT emp.*,row_number() OVER (ORDER BY salary DESC) rnum FROM Employee emp) WHERE rnum = n;","Write sql query to get the nth highest salary among all employees.Given Employee Table with two columns
ID, Salary 10, 2000
11, 5000
12, 3000

Option 1: Use Subquery We can use following sub query approach for this:
SELECT * FROM Employee emp1 WHERE (N-1) = ( SELECT COUNT(DISTINCT(emp2.salary)) FROM Employee emp2 WHERE emp2.salary > emp1.salary)
Option 2: Using Rownum in Oracle
SELECT * FROM (SELECT emp.*,row_number() OVER (ORDER BY salary DESC) rnum FROM Employee emp) WHERE rnum = n;","write sql query get nth highest salary among employees.given employee table two column id , salary , , option use subquery use following sub query approach : select employee emp wheren- ) select count ( distinct ( emp.salary ) ) employee emp emp.salary emp.salary ) option using rownum oracle select fromselect emp . * , row_number ( ) overorder salary desc ) rnum employee emp ) rnum n ;",
10,How can you find 10 employees with odd number as employee id?,"In Oracle we can use Top to limit the number of records. We can also use Rownum < 11 to get the only 10 or less number of records.To find the Odd number Employee ID, we can use % function.
Sample Query with TOP:
SELECT TOP 10 ID FROM Employee WHERE ID % 2 = 1;
Sample Query with ROWNUM:
SELECT ID FROM Employee WHERE ID % 2 = 1 AND ROWNUM < 11;","How can you find 10 employees with odd number as employee id?In Oracle we can use Top to limit the number of records. We can also use Rownum < 11 to get the only 10 or less number of records.To find the Odd number Employee ID, we can use % function.
Sample Query with TOP:
SELECT TOP 10 ID FROM Employee WHERE ID % 2 = 1;
Sample Query with ROWNUM:
SELECT ID FROM Employee WHERE ID % 2 = 1 AND ROWNUM < 11;","find employee odd number employee id ? oracle use top limit number record . also use rownum get less number records.to find odd number employee id , use function . sample query top : select top id employee id sample query rownum : select id employee id rownum",
